File	repBio	Condition
Intensity_10amol_1	inj1	10amol
Intensity_10amol_2	inj2	10amol
Intensity_10amol_3	inj3	10amol
Intensity_10amol_4	inj4	10amol
Intensity_50amol_1	inj1	50amol
Intensity_50amol_3	inj3	50amol
Intensity_50amol_2	inj2	50amol
Intensity_50amol_4	inj4	50amol
Intensity_100amol_1	inj1	100amol
Intensity_100amol_3	inj3	100amol
Intensity_100amol_2	inj2	100amol
Intensity_100amol_4	inj4	100amol
Intensity_250amol_1	inj1	250amol
Intensity_250amol_2	inj2	250amol
Intensity_250amol_3	inj3	250amol
Intensity_250amol_4	inj4	250amol
Intensity_500amol_1	inj1	500amol
Intensity_500amol_3	inj3	500amol
Intensity_500amol_2	inj2	500amol
Intensity_500amol_4	inj4	500amol
Intensity_1fmol_1	inj1	1fmol
Intensity_1fmol_2	inj2	1fmol
Intensity_1fmol_3	inj3	1fmol
Intensity_1fmol_4	inj4	1fmol
Intensity_5fmol_1	inj1	5fmol
Intensity_5fmol_3	inj3	5fmol
Intensity_5fmol_2	inj2	5fmol
Intensity_5fmol_4	inj4	5fmol
Intensity_10fmol_1	inj1	10fmol
Intensity_10fmol_2	inj2	10fmol
Intensity_10fmol_3	inj3	10fmol
Intensity_10fmol_4	inj4	10fmol
Intensity_25fmol_1	inj1	25fmol
Intensity_25fmol_2	inj2	25fmol
Intensity_25fmol_3	inj3	25fmol
Intensity_25fmol_4	inj4	25fmol
Intensity_50fmol_1	inj1	50fmol
Intensity_50fmol_2	inj2	50fmol
Intensity_50fmol_3	inj3	50fmol
Intensity_50fmol_4	inj4	50fmol
